Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Aug,580116,,439513,163839,275674,,140602,70036,38737,31827,,-0.256530172,,0.55940952,1.2020285,0.181339148,,-2.723832322,-3.058992885,-3.732697135,-0.701984276,,Jul,849012,58121.89271,791786.5196,,5239668,216976,5022691,,0.890653427,4.213349779,1.156439553,,0.395245103,-1.506169029,0.479020138,,Jul,1698.883174,861.0971985,418.7651679,410.8544112,,143.7065122,,661.0956145,1690.590711,,0.516496493,0.550029784,-0.114991775,-0.51415902,,0.720505882,,-0.716993434,-1.832234231,,Aug,16148,35906.6668,178809.3005,40121.59188,,66.53859176,154.1230888,"166,860",,99.78488812,132.5,,-1.362164804,-0.203939868,-0.411673207,1.041950884,,-0.903530359,0.677239261,0.624916839,,0.945495246,0.226928896
Sep,577413,,436528,161101,275427,,140885,68704,40056,32123,,-0.465941294,,-0.679160798,-1.671152778,-0.089598584,,0.201277364,-1.901879034,3.405013295,0.930027964,,Aug,858586,59439.68441,798564.4561,,5294767,221073,5073695,,1.127663684,2.267289713,0.856030806,,1.05157426,1.888227269,1.015471587,,Aug,1695.855784,871.0778824,420.5973856,410.1735367,,140.8575209,,665.3232928,1695.9523,,-0.178198844,1.159065886,0.437528679,-0.165721621,,-1.9825068,,0.639495755,0.317142914,,Sep,15993,35887.11194,179376.2128,40234.55742,,66.62916694,151.767115,"168,123",,100.9992035,132.6,,-0.959871191,-0.054460243,0.317048535,0.281557982,,0.090575179,-1.528631307,0.756974536,,1.21693314,0.075471698
Oct,576222,,434678,162153,272525,,141543,68536,40212,32793,,-0.20626484,,-0.423798702,0.653006499,-1.053636717,,0.467047592,-0.244527247,0.389454763,2.085732964,,Sep,860941,59475.97927,802408.6575,,5304805,222505,5082300,,0.27428819,0.061061671,0.481388989,,0.189583413,0.647749838,0.169600262,,Sep,1700.302273,876.7885011,420.8863043,408.031396,,143.7516927,,668.6510461,1710.391049,,0.262197339,0.655580723,0.068692471,-0.522252285,,2.054680376,,0.500170861,0.851365303,,Oct,16170,36092.37128,180062.9097,41659.74459,,65.81368782,153.8855085,"170,389",,98.06540068,133,,1.106734196,0.571958377,0.382824963,3.542196695,,-0.815479128,1.395818526,1.348031825,,-2.90477817,0.301659125
Nov,594346,,448768,164564,284203,,145577,71575,42645,31356,,3.145315521,,3.2414799,1.486867341,4.285111458,,2.850017309,4.434165986,6.050432707,-4.382032751,,Oct,865277,57284.07617,808671.0629,,5336047,220116,5115932,,0.503634976,-3.685358573,0.780450878,,0.588937765,-1.073683737,0.661747634,,Oct,1712.182958,875.2410083,425.3093431,412.3541597,,142.5468937,,671.0547669,1717.814223,,0.698739605,-0.176495565,1.050886838,1.059419391,,-0.83811115,,0.359488083,0.434004474,,Nov,16019,36322.74799,179354.0121,41101.81984,,64.55211645,152.5063945,"168,695",,100.8138941,133.4,,-0.933828077,0.6382975,-0.393694413,-1.339241879,,-1.261571363,-0.896194906,-0.994491946,,2.802714672,0.30075188
Dec,609739,,460193,166283,293909,,149546,72243,43729,33572,,2.589905543,,2.545858885,1.044578401,3.415164513,,2.726392219,0.933286762,2.541915817,7.067227963,,Nov,866018,57823.5867,810882.2124,,5349634,222845,5126790,,0.085637316,0.941815889,0.273430023,,0.254626693,1.239800832,0.212238943,,Nov,1716.806916,874.6797963,427.8425613,414.0185619,,143.5726392,,673.8509949,1702.782427,,0.270062121,-0.064120847,0.595617828,0.403634143,,0.719584597,,0.416691478,-0.875053683,,Dec,16283,36615.01863,180263.5496,41443.99005,,66.79382256,154.8092315,"173,069",,101.1984144,133.8,,1.648042949,0.804649041,0.507118548,0.832494054,,2.241706106,1.509993786,2.593123311,,0.381416,0.299850075
Jan '16,615687,,464010,172190,291819,,151677,73452,44684,33538,,0.975499353,,0.829434607,3.552377573,-0.711104458,,1.424979605,1.673518542,2.183905417,-0.101274872,,Dec,887029,59287.84829,831609.1481,,5416814,225591,5191223,,2.426162043,2.532291193,2.556096971,,1.255786844,1.232246629,1.256790311,,Dec,1750.998151,885.1382315,425.4832454,436.4695804,,145.0244834,,687.8709429,1751.681267,,1.991559759,1.195687289,-0.55144488,5.422708196,,1.011226212,,2.08057094,2.871702187,,Jan '16,15851,37298.6156,182231.6062,41391.09226,,65.55386692,155.2470784,"174,815",,101.3025332,134.2,,-2.653073758,1.866985176,1.091766273,-0.127636811,,-1.239955637,0.282829971,1.008392826,,0.102885833,0.298953662
Feb,630115,,480922,180698,300224,,149192,75673,43080,30438,,2.343398513,,3.644749036,4.941053487,2.880209993,,-1.638349915,3.023743397,-3.589651777,-9.243246467,,Jan '16,903394,59058.20684,845648.648,,5474412,227934,5246478,,1.84492277,-0.387333092,1.68823298,,1.06331877,1.038605264,1.064392726,,Jan '16,1761.037087,897.8799052,433.5214502,440.9360054,,145.0356131,,669.185804,1703.795384,,0.573326446,1.439512301,1.889194197,1.023307293,,0.007674364,,-2.716372767,-2.733709788,,Feb,15877,36623.77612,182772.5888,42291.67365,,66.08442058,156.2893439,"178,031",,100.3730945,134.4,,0.164027506,-1.809288278,0.296865407,2.175785514,,0.530553657,0.671359167,1.840075447,,-0.917488074,0.149031297
Mar,641341,,489990,179550,310440,,151350,72463,43700,35185,,1.781579553,,1.885544849,-0.635314171,3.402792582,,1.446458255,-4.241935697,1.439182916,15.59563703,,Feb,895815,59948.58856,832877.783,,5476575,227976,5248599,,-0.838947347,1.507634204,-1.510185696,,0.039511093,0.018426387,0.040427121,,Feb,1840.719848,906.0867563,453.0512262,456.3791142,,151.6581193,,691.3927848,1790.001701,,4.524763374,0.914025477,4.504915722,3.502346962,,4.56612416,,3.31850747,5.059663678,,Mar,16021,37052.74002,183195.0661,42710.35968,,69.64594736,159.6780417,"184,188",,101.9038875,134.4,,0.90697235,1.171271631,0.231149168,0.989996359,,3.561526778,2.168220621,3.458399686,,1.525102844,0
Apr,658043,,492082,182401,309681,,165960,79978,47177,38803,,2.604230823,,0.426947489,1.587858535,-0.244491689,,9.653121903,10.37080993,7.956521739,10.28279096,,Mar,918814,61982.00001,854189.1167,,5548424,230916,5317508,,2.567382774,3.391925465,2.558758817,,1.311933097,1.289609433,1.312902738,,Mar,1808.937023,929.375469,439.8542871,443.9940876,,151.0530694,,700.4883953,1788.077177,,-1.726651941,2.570251974,-2.912902191,-2.713758415,,-0.398956423,,1.315548942,-0.10751517,,Apr,16279,37848.22129,183040.6964,43570.26639,,68.67784783,161.3826529,"184,945",,101.9559044,134.7,,1.610386368,2.146889182,-0.084265195,2.013344575,,-0.968099524,1.067530127,0.410650553,,0.051045133,0.223214286
May,632525,,479937,177970,301966,,152587,73913,45283,33389,,-3.877862085,,-2.468084588,-2.429262997,-2.491273278,,-8.057965775,-7.583335417,-4.014668165,-13.95252944,,Apr,929299,63290.69122,864936.1426,,5579218,231745,5347472,,1.141144998,2.111405274,1.25815532,,0.555004448,0.359005006,0.563497037,,Apr,1780.219636,896.6321078,437.6966784,450.2612479,,146.5365521,,691.7142584,1746.984976,,-1.587528257,-3.523157469,-0.490528065,1.41154138,,-2.990020208,,-1.252574194,-2.298122351,,May,16624,37546.45672,183752.8319,43201.73424,,66.90365127,155.3596844,"180,972",,99.14074042,135.2,,2.119294797,-0.797301852,0.389058531,-0.845834035,,-1.774196565,-3.732104063,-2.147907056,,-2.761158405,0.371195249
Jun,626967,,464766,171947,292818,,162200,82870,42536,36791,,-0.878700447,,-3.161039886,-3.384278249,-3.02948014,,6.300012452,12.11830125,-6.066294194,10.1889844,,May,923662,63331.7916,857259.2895,,5551567,231323,5320243,,-0.606586255,0.06493905,-0.887562985,,-0.49560709,-0.182096701,-0.509193877,,May,1823.374237,918.8132298,447.8199114,458.7691285,,153.1170825,,702.8980768,1790.812753,,2.424116671,2.473826425,2.312842094,1.889543154,,4.490709139,,1.61682634,2.508766672,,Jun,16474,37452.77847,184503.5421,43595.47357,,68.15867614,156.2172107,"181,916",,100.0747433,135.5,,-0.902309913,-0.24949956,0.408543504,0.911397035,,1.255024878,0.551961926,0.521412799,,0.942097991,0.221893491
Jul,638183,,472450,176274,296175,,165733,80986,47435,37309,,1.78892988,,1.653305104,2.516473099,1.146445915,,2.178175092,-2.273440328,11.51730299,1.407953032,,Jun,931757,63249.6591,867606.2408,,5557042,231530,5325512,,0.87640284,-0.129686052,1.206980367,,0.098620804,0.089485265,0.09903683,,Jun,1852.917787,921.6032837,447.4929133,476.6749614,,154.3014429,,692.3111382,1765.288704,,1.620268024,0.303658438,-0.073019995,3.903016091,,0.773499827,,-1.506184026,-1.425277346,,Jul,16663,37791.75893,184761.7394,44863.66537,,69.30783352,161.8443365,"187,303",,101.7943425,136.3,,1.147262353,0.905087608,0.139941616,2.908998795,,1.149157378,3.602116433,2.961322176,,1.718314824,0.590405904
Aug,636063,,468845,174578,294267,,167217,80708,47371,39137,,-0.332193117,,-0.763043708,-0.962138489,-0.644213725,,0.895416121,-0.343269207,-0.134921471,4.899622075,,Jul,933559,60870.34165,872514.677,,5596614,228520,5368094,,0.193398064,-3.76178699,0.565744684,,0.712105469,-1.30004751,0.799585092,,Jul,1886.936063,938.170026,458.7826684,495.6367092,,155.7540475,,702.1860459,1793.109855,,1.835930109,1.797600184,2.522890244,3.977919832,,0.941407023,,1.426368456,1.576011337,,Aug,16763,37549.65795,186544.0303,45525.63185,,67.44129777,158.8890344,"185,585",,102.110427,136.4,,0.600132029,-0.640618457,0.964642828,1.475506904,,-1.866535751,-1.826015129,-0.917073104,,0.310512841,0.073367572
Sep,640433,,471308,174836,296472,,169124,82350,47749,39024,,0.687038863,,0.525333532,0.147784944,0.749319496,,1.140434286,2.034494722,0.797956556,-0.288729335,,Aug,923904,59302.64842,864298.6384,,5561899,226041,5335858,,-1.034214227,-2.575463169,-0.941650477,,-0.620285766,-1.084806581,-0.600511094,,Aug,1874.200357,926.7837845,453.7438616,493.9184349,,155.5509458,,699.683392,1776.842933,,-0.674941035,-1.213665029,-1.098299285,-0.346680199,,-0.130398974,,-0.356408954,-0.90719044,,Sep,16852,37749.42881,186955.6303,46276.61027,,69.10439589,162.0916258,"190,368",,104.0017922,136.5,,0.530931218,0.532017786,0.220645008,1.649572747,,1.663098119,2.01561511,2.577211196,,1.852274305,0.073313783
Oct,639564,,472880,171744,301135,,166683,78811,46629,41241,,-0.135689448,,0.333539851,-1.768514494,1.572829812,,-1.443319694,-4.297510625,-2.345598861,5.681119311,,Sep,938127,60446.62276,878553.3694,,5619628,226892,5392736,,1.539445657,1.929044276,1.649283061,,1.037936863,0.376480373,1.065957902,,Sep,1920.842531,944.7356825,472.51053,494.7697286,,161.9007554,,700.4682157,1773.818577,,2.48864396,1.93701037,4.135960824,0.17235513,,4.082141449,,0.112168416,-0.170209521,,Oct,16737,38633.82403,186626.7402,44768.33996,,68.26662212,161.2567888,"189,645",,104.03835,136.9,,-0.682411583,2.34280425,-0.175918826,-3.259249742,,-0.837773767,-0.515040191,-0.379668712,,0.035151117,0.293040293
Nov,661448,,491956,178488,313468,,169491,78771,46922,43796,,3.421706037,,4.034004399,3.926774734,4.095505338,,1.684634906,-0.050754336,0.628364323,6.195291094,,Oct,940836,61546.06955,880121.1276,,5622592,229023,5393569,,0.288766873,1.818872153,0.178447687,,0.052743705,0.93921337,0.015446705,,Oct,1905.838588,949.9591672,471.4651111,494.8600408,,162.3217445,,684.5445619,1734.783572,,-0.781112589,0.552904349,-0.221247736,0.018253378,,0.260029114,,-2.273287143,-2.200619942,,Nov,16526,38577.2312,187083.5145,45465.19488,,68.61505283,161.3334427,"194,881",,103.873417,136.9,,-1.260679931,-0.146485174,0.244752872,1.556579753,,0.348430711,0.047535293,2.760880961,,-0.158530923,0
Dec,653116,,483612,170947,312665,,169503,79347,47233,42922,,-1.259660623,,-1.696086642,-4.224933889,-0.256166499,,0.007080022,0.731233576,0.662802097,-1.995616038,,Nov,946973,62691.72606,887528.9005,,5658707,230674,5428033,,0.652292217,1.861461687,0.841676522,,0.642319414,0.720888295,0.638983204,,Nov,1896.550567,948.3995542,467.4558992,487.6872347,,159.3250564,,713.2836588,1797.716774,,-0.487345623,-0.164176843,-0.850372975,-1.449461575,,-1.846140912,,4.198279921,3.627726435,,Dec,16429,38099.51087,188988.0137,46924.95789,,69.94038776,165.2307598,"196,733",,102.9307679,137.2,,-0.586953891,-1.238347892,1.017994125,3.210726382,,1.325334921,2.415690807,0.950003954,,-0.907497972,0.219138057
Jan '17,647768,,474718,172831,301887,,173049,81870,48094,43083,,-0.818843819,,-1.839077608,1.102095971,-3.44713991,,2.091998372,3.179704337,1.822878073,0.375099017,,Dec,936594,62415.65424,879066.0664,,5615894,227182,5388712,,-1.096018577,-0.440364044,-0.953527717,,-0.756586266,-1.513824705,-0.72440606,,Dec,1932.926276,955.7590339,481.384463,491.6323069,,159.8665711,,686.2436683,1735.193592,,1.917993107,0.77598937,2.979653019,0.808934894,,0.339880475,,-3.790916863,-3.477921709,,Jan '17,16205,38403.91825,189575.5681,46438.80517,,68.68835117,163.5318146,"196,042",,103.2175396,137.7,,-1.363442693,0.798979738,0.310895074,-1.036021645,,-1.252036587,-1.028225729,-0.35090025,,0.278606422,0.364431487
Feb,644772,,471391,170654,300737,,173381,79776,50084,43518,,-0.462511269,,-0.700837129,-1.259611991,-0.380937238,,0.191853175,-2.557713448,4.137730278,1.009678992,,Jan '17,953684,62300.24365,893909.6893,,5735936,231050,5504886,,1.82469672,-0.184906479,1.688567379,,2.137540345,1.702599678,2.155876952,,Jan '17,1940.584845,956.6486202,470.0327041,519.7531535,,159.8002057,,696.2724883,1746.067552,,0.396216269,0.093076413,-2.358148182,5.719893951,,-0.041513051,,1.461408023,0.626671264,,Feb,16520,38545.2055,189664.779,46304.1663,,70.09984894,164.3204806,"198,285",,103.5031961,138,,1.943844492,0.367898014,0.047058242,-0.289927509,,1.411497774,0.482270665,1.143929158,,0.276751848,0.217864924
Mar,647166,,476111,175134,300977,,171055,79660,48666,42727,,0.371294039,,1.001291921,2.625194839,0.079803948,,-1.34155415,-0.14540714,-2.831243511,-1.817638678,,Feb,963289,61015.8674,902724.4045,,5798454,229762,5568692,,1.007147021,-2.061591048,0.986085652,,1.089935453,-0.557455096,1.159079407,,Feb,1912.459196,952.4691893,469.0419906,495.0680753,,157.3332573,,660.1685569,1708.780165,,-1.449338759,-0.436882547,-0.210775438,-4.749384968,,-1.543770471,,-5.18531638,-2.135506537,,Mar,16431,38135.62955,190602.4716,45721.60289,,69.4528749,164.2342874,"196,431",,103.1845462,138.1,,-0.53874092,-1.062585982,0.494394646,-1.258123088,,-0.646974043,-0.052454344,-0.93504382,,-0.307864758,0.072463768
Apr,674379,,490994,186306,304688,,183384,85907,51038,46437,,4.204948962,,3.125951721,6.37911542,1.23298458,,7.207623279,7.842078835,4.87403937,8.683034147,,Mar,970447,60977.98275,908596.0034,,5751420,226909,5524511,,0.74307918,-0.06208983,0.650430951,,-0.811147247,-1.241719693,-0.793382001,,Mar,1961.37228,956.3153119,489.063446,508.5323284,,159.3356926,,709.6089416,1776.15423,,2.557601427,0.40380546,4.268584873,2.719677095,,1.272734952,,7.48905475,3.942816421,,Apr,17034,38417.99767,190345.0718,45600.61226,,70.52974181,165.2394292,"202,083",,105.8849894,138.3,,3.669892277,0.740431262,-0.135045337,-0.264624644,,1.076866914,0.612017051,2.877570336,,2.617100464,0.144822592
May,653667,,486141,191088,295052,,167525,80737,43758,43028,,-3.071270013,,-0.988403117,2.566745032,-3.162579426,,-8.647973651,-6.018135891,-14.26388181,-7.341128841,,Apr,977680,61206.57948,915920.5386,,5825352,229870,5595483,,0.745326638,0.374884037,0.806137734,,1.285456461,1.304928407,1.284674788,,Apr,1989.735598,987.2895977,493.1710304,520.7280981,,164.4398915,,714.5650644,1805.063118,,1.446095591,3.238919779,0.839887835,2.398228994,,3.20342467,,0.69843015,1.627611344,,May,17130,39240.18925,192031.3742,45709.95929,,70.53140207,167.8989658,"203,022",,109.9334085,138.4,,0.563578725,2.140120844,0.885918603,0.239792898,,0.001660262,1.609504821,0.46449532,,3.823411686,0.07230658
Jun,660639,,488076,191991,296084,,172563,81149,47419,43992,,1.06659813,,0.39803267,0.472557146,0.349768854,,3.007312341,0.510298872,8.366470131,2.240401599,,May,979779,60405.3603,914748.3638,,5820734,230039,5590695,,0.214691924,-1.309040927,-0.127977782,,-0.079274179,0.073519816,-0.085569021,,May,1992.302638,966.8184724,505.9306575,525.4852364,,158.5731692,,723.3514618,1827.682551,,0.129014104,-2.073467126,2.587262072,0.91355513,,-3.567700157,,1.229614747,1.253110363,,Jun,17279,39269.92518,193426.0205,46762.52125,,69.20712534,167.4688084,"204,619",,106.2966501,138.8,,0.869819031,0.075779291,0.726259587,2.302697212,,-1.324276736,-0.256200138,0.786713058,,-3.308146666,0.289017341
Jul,658478,,491259,192652,298606,,167218,80331,44840,42045,,-0.327107543,,0.652152534,0.344286972,0.851785304,,-3.097419493,-1.00802228,-5.438748181,-4.425804692,,Jun,991844,59606.46037,928762.0006,,5861327,227903,5633424,,1.231400142,-1.322564638,1.531966307,,0.697386275,-0.928538204,0.764287803,,Jun,1993.27382,953.4829401,497.7322056,528.0575931,,159.5237833,,726.8163856,1826.110477,,0.048746733,-1.379321215,-1.620469469,0.489520258,,0.599479772,,0.47900972,-0.086014627,,Jul,17307,39883.05801,193618.8644,46999.91244,,70.93554134,172.4673389,"208,427",,107.3633342,139,,0.162046415,1.561329233,0.099699045,0.507652684,,1.728416005,2.984753153,1.860906973,,1.003497405,0.144092219
Aug,656026,,488381,189759,298622,,167645,80437,46457,40748,,-0.372373868,,-0.585841684,-1.501671408,0.005358231,,0.255355285,0.13195404,3.606155219,-3.084790106,,Jul,996074,61868.73024,934328.4522,,5876104,231383,5644720,,0.426478357,3.795343425,0.599341021,,0.252110145,1.526965419,0.200517483,,Jul,2027.519987,987.2760763,503.8979233,541.6371045,,158.2150681,,745.9432696,1908.809953,,1.718086408,3.54417837,1.238762061,2.571596661,,-0.820388755,,2.631597798,4.528722515,,Aug,17387,39391.39858,194825.7018,47518.20026,,69.95397038,173.5458462,"211,245",,109.0332157,139.3,,0.462240712,-1.232752574,0.623305689,1.102742098,,-0.981570966,0.625339993,1.352164842,,1.55535545,0.215827338
Sep,665815,,486991,193979,293011,,178823,88216,49410,41195,,1.492166469,,-0.284613857,2.223873439,-1.878964041,,6.667660831,9.670922585,6.35641561,1.096986355,,Aug,1006770,63366.54882,941513.0386,,5920929,232854,5688075,,1.073815801,2.420962215,0.768957254,,0.762835375,0.63574247,0.768062898,,Aug,2058.616158,990.1566845,510.2107702,548.3817254,,162.8176613,,736.6904954,1869.236122,,1.533704798,0.291773328,1.252802705,1.245228753,,2.909073864,,-1.240412588,-2.073220082,,Sep,17300,39229.10049,195473.4576,46562.38918,,70.4512054,174.0167842,"212,169",,107.7174291,139.9,,-0.500373843,-0.412014045,0.332479661,-2.011463129,,0.497235021,0.27136228,0.437505496,,-1.206775907,0.430725054
Oct,691358,,507945,190657,317287,,183413,94865,48743,39802,,3.836350938,,4.302748921,-1.712556514,8.285013191,,2.566783915,7.537181464,-1.349929164,-3.381478335,,Sep,1008143,62237.03012,943124.6286,,5932199,230896,5701303,,0.13637673,-1.782515732,0.171170229,,0.190341752,-0.840870245,0.232556709,,Sep,2043.86685,986.5868062,506.3174909,556.1472773,,162.4551037,,739.9475667,1872.629556,,-0.716467107,-0.360536713,-0.763072725,1.416085097,,-0.222677085,,0.442122085,0.181541259,,Oct,16802,39283.92954,194763.9927,47349.66269,,70.39900463,172.9145414,"214,007",,106.2760492,140.5,,-2.878612717,0.139766265,-0.362946902,1.690792764,,-0.052200766,-0.633411738,0.865892979,,-1.338112034,0.42887777
Nov,676420,,496292,187405,308887,,180127,92890,49989,37246,,-2.160675077,,-2.29414602,-1.705680882,-2.647445373,,-1.791585111,-2.081905866,2.556264489,-6.42178785,,Oct,1013475,63803.75753,948814.807,,5939477,232273,5707203,,0.528893222,2.517355672,0.603332601,,0.122686377,0.596372393,0.103485116,,Oct,2075.301706,997.0565618,515.0595673,565.5534867,,162.2724905,,740.2802235,1887.623943,,1.538008998,1.061209778,1.726599728,1.691316266,,-0.112408435,,0.044956796,0.800712885,,Nov,16762,39805.79579,195376.1619,46617.01403,,70.01275377,172.6352819,"213,611",,105.5673389,140.7,,-0.238066897,1.328447192,0.314313297,-1.547315481,,-0.386250867,-0.161501439,-0.18494264,,-0.666858041,0.142348754
Dec,674542,,492470,185269,307200,,182071,88336,48735,44998,,-0.277638154,,-0.770111144,-1.139777487,-0.546154419,,1.079238537,-4.902572936,-2.508551881,20.81297321,,Nov,1005307,63332.11274,949307.5179,,5948190,228477,5719714,,-0.805939959,-0.739211615,0.051929089,,0.146696418,-1.634283795,0.219214211,,Nov,2073.14726,991.4024646,519.7468368,557.3664125,,165.8530341,,715.9669715,1801.238305,,-0.103813629,-0.567078884,0.910044151,-1.44762155,,2.206500709,,-3.284330881,-4.576422008,,Dec,16074,40277.8522,195818.5364,47957.15424,,69.93818025,177.6364213,"210,000",,106.822303,141.1,,-4.104522133,1.185898665,0.226421984,2.874787752,,-0.074573518,2.896939324,-1.690231101,,1.18878066,0.284292822
Jan '18,672584,,494150,179107,315042,,178433,86513,47141,44772,,-0.290271028,,0.341137531,-3.325974664,2.552734375,,-1.998121612,-2.063711284,-3.270749974,-0.502244544,,Dec,1015735,63940.32658,956417.5555,,5975922,230000,5745922,,1.037295075,0.960356146,0.74897096,,0.46622586,0.666587884,0.458204728,,Dec,2097.949662,1010.752275,514.7973772,568.1545088,,164.2516426,,728.2885749,1825.612028,,1.196364658,1.951761379,-0.952282774,1.935548324,,-0.965548506,,1.720973726,1.353164803,,Jan '18,15210,40439.76948,196387.7657,48400.10602,,71.41466498,180.7125902,"222,823",,108.0061807,141.9,,-5.375139978,0.402000793,0.290692236,0.923640666,,1.476484732,1.731721956,6.105877178,,1.108268342,0.566973777
